排名,代码,名称,所属行业,主题标签,流通市值(亿),参考总市值(亿),市值状态,市值数据源,市值快照日期,筹码结构,启动评分,启动判断,极度推荐分,极度推荐理由,涨停基因分,涨停基因状态,涨停基因说明,动能协同,推荐度,基础策略分,市场评分,市场状态,相对强度,相对大盘1日%,相对大盘5日%,相对大盘20日%,严格匹配度,严格评级,关注理由,最新价,今日涨跌%,今日状态,收盘交易状态,激进买点,保守买点,激进止损,保守止损,激进止盈,保守止盈,激进周期,保守周期,计划依据,T+1开盘应对,MA5,MA10,MA20,MA60,20日平台高,20日低点,ATR14,DIF,DEA,MACD柱,MACD零轴,RSI14,RSI状态,K值,D值,J值,KDJ状态,近一年涨停次数,量比,5/20量比,20日涨幅%,近10日最大涨幅%,成交额(万),极度推荐,极度推荐排名
39,000936,华西股份,暂无同日行业数据,未分类,,,未取得市值,,,58/100｜筹码结构中性,59.2,近期缩量充分；当前放量偏激进；处于平台下方可观察区；死叉距开始改善；RSI回升,59.3,死叉修复｜强；一般涨停基因；历史涨停后3日≥3%命中50%；偏强上涨｜谨防追高；前期缩量结构较好,56.1,一般涨停基因,250日涨停6次；近60日3次；距最近涨停25日；历史涨停后3日≥3%命中50%；历史涨停后3日≥5%命中50%,RSI 中性｜KDJ 多头｜MACD 趋强,57.4,56.7,61.9,震荡偏强，精选个股,55.8,2.64,2.23,0.99,62.8,普通候选,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约1.1%，更像整理后的早期抬升，方向性仍需后续确认。近期5/20成交量比约0.68，量能处于收缩状态，但当前量比约3.20，启动力度还需要继续观察。过去250个交易日有6次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约3.4%。MACD仍处死叉，今天快慢线之间的MACD距开始缩小，属于死叉开始修复，位于跨零轴区域。,5.55,3.35,偏强上涨｜谨防追高,结构偏弱，不建议因为低价或历史涨停次数单独介入,5.52~5.54（承接/回踩）,5.87~5.90（突破确认）,5.44,5.74,5.85 / 5.92,6.08 / 6.21,信号偏弱，建议只做3个交易日以内的观察，不宜预设长期持仓,等待趋势重新改善后再评估，当前不建立明确持有周期,当前结构属于“偏弱”，因此计划重点是等待确认，而不是因为评分高就直接追价。5/20成交量比约0.68，说明前期有较明显的量能收缩。今日量比约3.20，放量程度需要继续观察。MACD仍处于金叉临界区，DIF正在向上靠拢DEA，差值约0.032。,明显高开：不追高，优先等待回踩参考买入区并确认承接,5.44,5.53,5.58,5.38,5.85,5.31,0.174,-0.031,0.001,-0.063,跨零轴,49.89,中性,27.99,27.13,29.7,多头,6,3.2,0.68,1.09,3.35,20155.44,,
40,600909,华安证券,暂无同日行业数据,非银金融,,,未取得市值,,,62/100｜筹码结构较好,90.1,近期缩量充分；处于平台下方可观察区；死叉距连续两天改善；RSI回升,74.3,死叉修复｜强；一般涨停基因；历史涨停后3日≥3%命中67%；温和上涨；前期缩量结构较好；当前量能温和放大,56.3,一般涨停基因,250日涨停6次；近60日2次；距最近涨停51日；历史涨停后3日≥3%命中67%；历史涨停后3日≥5%命中67%,RSI 中性｜KDJ 多头｜MACD 趋强,57.2,42.4,61.9,震荡偏强，精选个股,52.5,1.48,2.27,-3.41,81.1,较强匹配,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约-3.3%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.67，前期有明显缩量，而当前量比约1.10，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有6次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约2.2%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于下方区域。,7.9,2.2,温和上涨,结构偏弱，不建议因为低价或历史涨停次数单独介入,7.98~7.98（承接/回踩）,8.54~8.58（突破确认）,7.87,8.36,8.51 / 8.51,8.81 / 8.99,信号偏弱，建议只做3个交易日以内的观察，不宜预设长期持仓,等待趋势重新改善后再评估，当前不建立明确持有周期,当前结构属于“偏弱”，因此计划重点是等待确认，而不是因为评分高就直接追价。5/20成交量比约0.67，说明前期有较明显的量能收缩。今日量比约1.10，存在温和放量。MACD仍处于金叉临界区，DIF正在向上靠拢DEA，差值约0.021。,明显高开：不追高，优先等待回踩参考买入区并确认承接,7.73,7.87,8.06,8.57,8.51,7.55,0.228,-0.147,-0.126,-0.043,下方,45.82,中性,30.08,21.82,46.6,多头,6,1.1,0.67,-3.3,2.2,68655.89,,
41,000678,襄阳轴承,暂无同日行业数据,未分类,,,未取得市值,,,66/100｜筹码结构较好,86.7,近期缩量充分；处于平台下方可观察区；死叉距连续两天改善；推荐日未明显追涨,68.3,死叉修复｜强；偏弱涨停基因；历史涨停后3日≥3%命中50%；低位震荡/轻微回落；前期缩量结构较好；当前量能温和放大,38.1,偏弱涨停基因,250日涨停6次；近60日1次；距最近涨停23日；历史涨停后3日≥3%命中50%；历史涨停后3日≥5%命中50%,RSI 中性｜KDJ 多头｜MACD 中性,56.7,44.1,61.9,震荡偏强，精选个股,50.4,-1.38,0.32,3.96,86.8,强匹配,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约4.1%，近5日约0.1%，上涨速度相对温和，没有明显进入加速末端。5/20成交量比约0.72，前期有明显缩量，而当前量比约1.32，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有6次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约4.5%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于跨零轴区域。,8.96,-0.67,低位震荡/轻微回落,结构偏弱，不建议因为低价或历史涨停次数单独介入,8.98~9.00（承接/回踩）,9.62~9.67（突破确认）,8.77,9.41,9.59 / 9.62,9.96 / 10.18,信号偏弱，建议只做3个交易日以内的观察，不宜预设长期持仓,等待趋势重新改善后再评估，当前不建立明确持有周期,当前结构属于“偏弱”，因此计划重点是等待确认，而不是因为评分高就直接追价。5/20成交量比约0.72，说明前期有较明显的量能收缩。今日量比约1.32，存在温和放量。MACD仍缺乏持续向上确认，因此买点更偏向等待结构验证。,明显高开：不追高，优先等待回踩参考买入区并确认承接,8.81,9.03,8.99,8.71,9.59,8.21,0.281,-0.008,0.037,-0.089,跨零轴,49.68,中性,35.45,33.28,39.77,多头,6,1.32,0.72,4.07,4.52,9182.35,,
42,003016,欣贺股份,暂无同日行业数据,未分类,,,未取得市值,,,56/100｜筹码结构中性,65.1,短均线开始抬头；死叉距连续两天改善；RSI回升；推荐日上涨偏快,57.2,死叉修复｜强；偏弱涨停基因；历史涨停后3日≥3%命中60%；偏强上涨｜谨防追高；当前量能温和放大,28.4,偏弱涨停基因,250日涨停5次；距最近涨停179日；历史涨停后3日≥3%命中60%；历史涨停后3日≥5%命中60%,RSI 偏强｜KDJ 多头｜MACD 趋强,56.6,53.4,61.9,震荡偏强，精选个股,59.8,1.91,4.12,7.57,74.9,可重点观察,当前仍站在20日线之上，20日线相对60日线高约6.2%，但短线均线结构还不算特别强。近20日上涨约7.7%，近5日约3.9%，上涨速度相对温和，没有明显进入加速末端。近期量能没有明显收缩，5/20成交量比约1.24，因此“底部缩量”的特征并不突出。过去250个交易日有5次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约2.9%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于上方区域。,7.43,2.62,偏强上涨｜谨防追高,接近阶段平台高点，重点观察放量突破是否成立,7.27~7.32（承接/回踩）,7.65~7.70（突破确认）,7.05,7.48,7.63 / 7.82,7.93 / 8.12,若突破成立，最早T+1观察，通常约3个交易日评估一次,等待突破确认后，最早T+1观察，预计3~5个交易日,价格距离20日平台高点约2.7%，已经进入突破敏感区，因此保守方案要求价格站稳平台上方，而不是提前猜突破。5/20成交量比约1.24，量能收缩特征一般。今日量比约1.53，存在温和放量。MACD仍处于金叉临界区，DIF正在向上靠拢DEA，差值约0.020。,明显高开：不追高，优先等待回踩参考买入区并确认承接,7.2,7.3,7.21,6.79,7.63,6.75,0.234,0.102,0.122,-0.039,上方,58.85,偏强,51.42,48.04,58.18,多头,5,1.53,1.24,7.68,2.88,6156.55,,
43,002793,罗欣药业,暂无同日行业数据,未分类,,,未取得市值,,,61/100｜筹码结构较好,78.1,近期缩量充分；死叉距连续两天改善；RSI回升,71.0,死叉修复｜强；一般涨停基因；历史涨停后3日≥3%命中80%；温和上涨；当前量能温和放大,53.8,一般涨停基因,250日涨停5次；近60日3次；距最近涨停33日；历史涨停后3日≥3%命中80%；历史涨停后3日≥5%命中60%,RSI 中性｜KDJ 多头｜MACD 趋强,56.6,43.5,61.9,震荡偏强，精选个股,51.2,1.5,2.87,-7.71,70.9,可重点观察,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约-7.6%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.50，前期有明显缩量，而当前量比约1.44，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有5次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约2.2%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于下方区域。,4.62,2.21,温和上涨,结构偏弱，不建议因为低价或历史涨停次数单独介入,4.69~4.69（承接/回踩）,5.36~5.38（突破确认）,4.63,5.25,5.34 / 5.34,5.53 / 5.64,信号偏弱，建议只做3个交易日以内的观察，不宜预设长期持仓,等待趋势重新改善后再评估，当前不建立明确持有周期,当前结构属于“偏弱”，因此计划重点是等待确认，而不是因为评分高就直接追价。5/20成交量比约0.50，说明前期有较明显的量能收缩。今日量比约1.44，存在温和放量。MACD仍处于金叉临界区，DIF正在向上靠拢DEA，差值约0.030。,明显高开：不追高，优先等待回踩参考买入区并确认承接,4.53,4.61,4.74,4.79,5.34,4.39,0.143,-0.114,-0.084,-0.059,下方,44.94,中性,31.3,23.18,47.54,多头,5,1.44,0.5,-7.6,2.21,9549.91,,
44,002195,岩山科技,暂无同日行业数据,未分类,,,未取得市值,,,56/100｜筹码结构中性,84.1,近期量能收缩；处于平台下方可观察区；死叉距连续两天改善；RSI回升,74.1,死叉修复｜强；一般涨停基因；历史涨停后3日≥3%命中88%；温和上涨；前期缩量结构较好；当前量能温和放大,55.5,一般涨停基因,250日涨停8次；近60日1次；距最近涨停38日；历史涨停后3日≥3%命中88%；历史涨停后3日≥5%命中62%,RSI 中性｜KDJ 多头｜MACD 趋强,55.1,42.2,61.9,震荡偏强，精选个股,50.9,0.93,1.02,-2.79,81.1,较强匹配,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约-2.7%，更像整理后的早期抬升，方向性仍需后续确认。近期5/20成交量比约0.85，量能处于收缩状态，但当前量比约1.20，启动力度还需要继续观察。过去250个交易日有8次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约1.7%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于下方区域。,6.16,1.65,温和上涨,结构偏弱，不建议因为低价或历史涨停次数单独介入,6.22~6.22（承接/回踩）,6.61~6.64（突破确认）,6.16,6.50,6.59 / 6.59,6.79 / 6.91,信号偏弱，建议只做3个交易日以内的观察，不宜预设长期持仓,等待趋势重新改善后再评估，当前不建立明确持有周期,当前结构属于“偏弱”，因此计划重点是等待确认，而不是因为评分高就直接追价。5/20成交量比约0.85，量能收缩特征一般。今日量比约1.20，存在温和放量。MACD仍处于金叉临界区，DIF正在向上靠拢DEA，差值约0.014。,明显高开：不追高，优先等待回踩参考买入区并确认承接,6.12,6.17,6.28,6.4,6.59,5.99,0.149,-0.118,-0.104,-0.027,下方,42.73,中性,27.73,25.38,32.42,多头,8,1.2,0.85,-2.69,1.65,53546.84,,
45,601212,白银有色,暂无同日行业数据,未分类,,,未取得市值,,,65/100｜筹码结构较好,58.8,近期缩量充分；死叉距开始改善；RSI回升；推荐日上涨偏快,68.4,死叉修复｜中；强涨停基因；历史涨停后3日≥3%命中85%；偏强上涨｜谨防追高；当前量能温和放大,83.5,强涨停基因,250日涨停20次；近60日4次；距最近涨停11日；历史涨停后3日≥3%命中85%；历史涨停后3日≥5%命中75%,RSI 中性｜KDJ 空头｜MACD 中性,54.9,55.2,61.9,震荡偏强，精选个股,53.0,3.08,-2.12,3.18,68.1,可重点观察,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约3.3%，近5日约-2.3%，上涨速度相对温和，没有明显进入加速末端。5/20成交量比约0.53，前期有明显缩量，而当前量比约1.24，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有20次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约3.8%。MACD仍处死叉，今天快慢线之间的MACD距开始缩小，属于死叉开始修复，位于上方区域。,6.29,3.8,偏强上涨｜谨防追高,结构偏弱，不建议因为低价或历史涨停次数单独介入,6.66~6.66（承接/回踩）,7.70~7.78（突破确认）,6.48,7.41,7.68 / 7.68,8.17 / 8.48,信号偏弱，建议只做3个交易日以内的观察，不宜预设长期持仓,等待趋势重新改善后再评估，当前不建立明确持有周期,当前结构属于“偏弱”，因此计划重点是等待确认，而不是因为评分高就直接追价。5/20成交量比约0.53，说明前期有较明显的量能收缩。今日量比约1.24，存在温和放量。MACD仍缺乏持续向上确认，因此买点更偏向等待结构验证。,明显高开：不追高，优先等待回踩参考买入区并确认承接,6.24,6.56,6.79,5.68,7.68,6.01,0.389,0.089,0.239,-0.299,上方,48.47,中性,17.63,24.29,4.3,空头,20,1.24,0.53,3.28,3.8,170405.12,,
46,000779,甘咨询,暂无同日行业数据,未分类,,,未取得市值,,,62/100｜筹码结构较好,82.1,近期缩量充分；死叉距连续两天改善；RSI回升；推荐日未明显追涨,71.0,死叉修复｜强；一般涨停基因；历史涨停后3日≥3%命中40%；温和上涨；前期缩量结构较好；当前量能温和放大,46.0,一般涨停基因,250日涨停5次；近60日5次；距最近涨停18日；历史涨停后3日≥3%命中40%；历史涨停后3日≥5%命中40%,RSI 中性｜KDJ 空头｜MACD 趋强,54.7,41.0,61.9,震荡偏强，精选个股,48.0,0.43,1.7,-9.25,79.3,较强匹配,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约-9.1%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.55，前期有明显缩量，而当前量比约1.09，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有5次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约2.7%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于下方区域。,8.84,1.14,温和上涨,结构偏弱，不建议因为低价或历史涨停次数单独介入,9.34~9.34（承接/回踩）,11.03~11.15（突破确认）,9.08,10.61,11.00 / 11.00,11.71 / 12.16,信号偏弱，建议只做3个交易日以内的观察，不宜预设长期持仓,等待趋势重新改善后再评估，当前不建立明确持有周期,当前结构属于“偏弱”，因此计划重点是等待确认，而不是因为评分高就直接追价。5/20成交量比约0.55，说明前期有较明显的量能收缩。今日量比约1.09，存在温和放量。MACD仍处于金叉临界区，DIF正在向上靠拢DEA，差值约0.101。,明显高开：不追高，优先等待回踩参考买入区并确认承接,8.67,9.13,9.53,10.29,11.0,8.32,0.561,-0.507,-0.407,-0.201,下方,41.1,中性,17.01,17.08,16.86,空头,5,1.09,0.55,-9.15,2.7,33245.82,,
47,600736,苏州高新,暂无同日行业数据,未分类,,,未取得市值,,,62/100｜筹码结构较好,73.2,近期缩量充分；死叉距开始改善；RSI回升；推荐日上涨偏快,61.8,死叉修复｜强；一般涨停基因；历史涨停后3日≥3%命中71%；偏强上涨｜谨防追高；当前量能温和放大,47.9,一般涨停基因,250日涨停7次；距最近涨停95日；历史涨停后3日≥3%命中71%；历史涨停后3日≥5%命中71%,RSI 中性｜KDJ 多头｜MACD 趋强,54.6,50.9,61.9,震荡偏强，精选个股,51.9,1.79,0.67,-2.06,59.1,普通候选,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约-1.9%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.55，前期有明显缩量，而当前量比约1.30，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有7次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约2.5%。MACD仍处死叉，今天快慢线之间的MACD距开始缩小，属于死叉开始修复，位于下方区域。,6.54,2.51,偏强上涨｜谨防追高,结构偏弱，不建议因为低价或历史涨停次数单独介入,6.63~6.63（承接/回踩）,7.19~7.22（突破确认）,6.56,7.07,7.17 / 7.17,7.38 / 7.50,信号偏弱，建议只做3个交易日以内的观察，不宜预设长期持仓,等待趋势重新改善后再评估，当前不建立明确持有周期,当前结构属于“偏弱”，因此计划重点是等待确认，而不是因为评分高就直接追价。5/20成交量比约0.55，说明前期有较明显的量能收缩。今日量比约1.30，存在温和放量。MACD仍处于金叉临界区，DIF正在向上靠拢DEA，差值约0.039。,明显高开：不追高，优先等待回踩参考买入区并确认承接,6.44,6.58,6.69,6.61,7.17,6.32,0.156,-0.068,-0.03,-0.077,下方,45.8,中性,19.58,18.18,22.38,多头,7,1.3,0.55,-1.95,2.51,11241.85,,
48,003032,传智教育,暂无同日行业数据,未分类,,,未取得市值,,,63/100｜筹码结构较好,76.7,近期缩量充分；死叉距连续两天改善；推荐日未明显追涨,75.5,死叉修复｜强；中强涨停基因；历史涨停后3日≥3%命中78%；低位震荡/轻微回落；当前量能温和放大,71.4,中强涨停基因,250日涨停9次；近60日9次；距最近涨停27日；历史涨停后3日≥3%命中78%；历史涨停后3日≥5%命中78%,RSI 中性｜KDJ 多头｜MACD 中性,54.3,44.5,61.9,震荡偏强，精选个股,42.5,-0.83,0.99,-16.65,81.5,较强匹配,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约-16.5%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.48，前期有明显缩量，而当前量比约1.08，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有9次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约3.2%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于下方区域。,8.98,-0.11,低位震荡/轻微回落,结构偏弱，不建议因为低价或历史涨停次数单独介入,9.64~9.64（承接/回踩）,12.34~12.47（突破确认）,9.33,11.82,12.30 / 12.30,13.16 / 13.72,信号偏弱，建议只做3个交易日以内的观察，不宜预设长期持仓,等待趋势重新改善后再评估，当前不建立明确持有周期,当前结构属于“偏弱”，因此计划重点是等待确认，而不是因为评分高就直接追价。5/20成交量比约0.48，说明前期有较明显的量能收缩。今日量比约1.08，存在温和放量。MACD仍缺乏持续向上确认，因此买点更偏向等待结构验证。,明显高开：不追高，优先等待回踩参考买入区并确认承接,8.84,9.14,9.88,8.63,12.3,8.54,0.69,-0.332,-0.093,-0.478,下方,42.89,中性,15.52,12.81,20.93,多头,9,1.08,0.48,-16.54,3.21,25506.15,,
49,603335,迪生力,暂无同日行业数据,未分类,,,未取得市值,,,55/100｜筹码结构中性,73.1,死叉距连续两天改善；推荐日未明显追涨,79.3,死叉修复｜强；强涨停基因；历史涨停后3日≥3%命中91%；低位震荡/轻微回落；当前量能温和放大,73.4,强涨停基因,250日涨停11次；近60日2次；距最近涨停32日；历史涨停后3日≥3%命中91%；历史涨停后3日≥5%命中82%,RSI 中性｜KDJ 多头｜MACD 趋强,53.9,43.1,61.9,震荡偏强，精选个股,45.2,-1.36,0.53,-8.13,83.5,较强匹配,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约-8.0%，更像整理后的早期抬升，方向性仍需后续确认。近期量能没有明显收缩，5/20成交量比约0.91，因此“底部缩量”的特征并不突出。过去250个交易日有11次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约2.8%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于下方区域。,6.19,-0.64,低位震荡/轻微回落,结构偏弱，不建议因为低价或历史涨停次数单独介入,6.34~6.34（承接/回踩）,6.91~6.96（突破确认）,6.24,6.74,6.89 / 6.89,7.18 / 7.36,信号偏弱，建议只做3个交易日以内的观察，不宜预设长期持仓,等待趋势重新改善后再评估，当前不建立明确持有周期,当前结构属于“偏弱”，因此计划重点是等待确认，而不是因为评分高就直接追价。5/20成交量比约0.91，量能收缩特征一般。今日量比约1.23，存在温和放量。MACD仍处于金叉临界区，DIF正在向上靠拢DEA，差值约0.031。,明显高开：不追高，优先等待回踩参考买入区并确认承接,6.11,6.24,6.42,6.62,6.89,5.91,0.226,-0.127,-0.095,-0.063,下方,43.28,中性,26.89,21.01,38.66,多头,11,1.23,0.91,-8.02,2.81,7278.51,TOP5,5
50,000908,石药景峰,暂无同日行业数据,未分类,,,未取得市值,,,59/100｜筹码结构中性,89.7,近期缩量充分；死叉距连续两天改善；RSI回升；推荐日未明显追涨,74.5,死叉修复｜强；中强涨停基因；历史涨停后3日≥3%命中80%；低位震荡/轻微回落；前期缩量结构较好；当前量能温和放大,62.6,中强涨停基因,250日涨停5次；近60日4次；距最近涨停31日；历史涨停后3日≥3%命中80%；历史涨停后3日≥5%命中60%,RSI 中性｜KDJ 多头｜MACD 中性,52.1,39.4,61.9,震荡偏强，精选个股,44.1,-0.22,-1.72,-8.63,83.8,较强匹配,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约-8.5%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.67，前期有明显缩量，而当前量比约1.07，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有5次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约1.1%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于下方区域。,6.12,0.49,低位震荡/轻微回落,结构偏弱，不建议因为低价或历史涨停次数单独介入,6.28~6.28（承接/回踩）,6.74~6.77（突破确认）,6.21,6.63,6.72 / 6.72,6.92 / 7.03,信号偏弱，建议只做3个交易日以内的观察，不宜预设长期持仓,等待趋势重新改善后再评估，当前不建立明确持有周期,当前结构属于“偏弱”，因此计划重点是等待确认，而不是因为评分高就直接追价。5/20成交量比约0.67，说明前期有较明显的量能收缩。今日量比约1.07，存在温和放量。MACD仍缺乏持续向上确认，因此买点更偏向等待结构验证。,明显高开：不追高，优先等待回踩参考买入区并确认承接,6.12,6.2,6.33,6.5,6.72,6.0,0.147,-0.133,-0.106,-0.053,下方,39.47,中性,26.17,24.26,29.99,多头,5,1.07,0.67,-8.52,1.12,5551.33,,
51,600151,航天机电,暂无同日行业数据,未分类,,,未取得市值,,,57/100｜筹码结构中性,76.2,近期量能收缩；处于平台下方可观察区；死叉距开始改善；RSI回升,67.6,死叉修复｜强；一般涨停基因；历史涨停后3日≥3%命中75%；温和上涨；前期缩量结构较好；当前量能温和放大,55.2,一般涨停基因,250日涨停12次；距最近涨停80日；历史涨停后3日≥3%命中75%；历史涨停后3日≥5%命中67%,RSI 中性｜KDJ 空头｜MACD 趋强,52.1,42.8,61.9,震荡偏强，精选个股,50.3,1.7,0.2,-4.24,69.7,可重点观察,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约-4.1%，更像整理后的早期抬升，方向性仍需后续确认。近期5/20成交量比约0.89，量能处于收缩状态，但当前量比约1.21，启动力度还需要继续观察。过去250个交易日有12次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约3.0%。MACD仍处死叉，今天快慢线之间的MACD距开始缩小，属于死叉开始修复，位于下方区域。,9.74,2.42,温和上涨,结构偏弱，不建议因为低价或历史涨停次数单独介入,9.72~9.74（承接/回踩）,10.37~10.44（突破确认）,9.57,10.12,10.34 / 10.47,10.77 / 11.03,信号偏弱，建议只做3个交易日以内的观察，不宜预设长期持仓,等待趋势重新改善后再评估，当前不建立明确持有周期,当前结构属于“偏弱”，因此计划重点是等待确认，而不是因为评分高就直接追价。5/20成交量比约0.89，量能收缩特征一般。今日量比约1.21，存在温和放量。MACD仍处于金叉临界区，DIF正在向上靠拢DEA，差值约0.006。,明显高开：不追高，优先等待回踩参考买入区并确认承接,9.63,9.71,9.83,10.05,10.34,9.46,0.33,-0.159,-0.152,-0.013,下方,46.6,中性,27.11,27.56,26.21,空头,12,1.21,0.89,-4.13,2.95,23395.0,,
52,002129,TCL中环,暂无同日行业数据,未分类,,,未取得市值,,,58/100｜筹码结构中性,79.8,近期缩量充分；死叉距开始改善；RSI回升,67.2,死叉修复｜中；一般涨停基因；历史涨停后3日≥3%命中75%；温和上涨；前期缩量结构较好；当前量能温和放大,54.8,一般涨停基因,250日涨停8次；近60日1次；距最近涨停53日；历史涨停后3日≥3%命中75%；历史涨停后3日≥5%命中62%,RSI 中性｜KDJ 多头｜MACD 中性,51.9,42.6,61.9,震荡偏强，精选个股,48.8,1.02,1.13,-7.79,71.8,可重点观察,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约-7.7%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.72，前期有明显缩量，而当前量比约1.14，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有8次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约2.2%。MACD仍处死叉，今天快慢线之间的MACD距开始缩小，属于死叉开始修复，位于下方区域。,8.77,1.74,温和上涨,结构偏弱，不建议因为低价或历史涨停次数单独介入,9.05~9.05（承接/回踩）,10.03~10.07（突破确认）,8.95,9.87,10.00 / 10.00,10.29 / 10.46,信号偏弱，建议只做3个交易日以内的观察，不宜预设长期持仓,等待趋势重新改善后再评估，当前不建立明确持有周期,当前结构属于“偏弱”，因此计划重点是等待确认，而不是因为评分高就直接追价。5/20成交量比约0.72，说明前期有较明显的量能收缩。今日量比约1.14，存在温和放量。MACD仍缺乏持续向上确认，因此买点更偏向等待结构验证。,明显高开：不追高，优先等待回踩参考买入区并确认承接,8.73,8.88,9.12,9.47,10.0,8.54,0.214,-0.18,-0.128,-0.103,下方,42.4,中性,20.15,16.44,27.57,多头,8,1.14,0.72,-7.68,2.19,48374.89,,
